,retweetCount,replyCount,likeCount,quoteCount,viewCount,bookmarkCount,quoteId,inReplyToId,election_integrity_Truth_illuminating,advocacy_msg_type_illuminating,issue_msg_type_illuminating,attack_msg_type_illuminating,image_msg_type_illuminating,cta_msg_type_illuminating,engagement_cta_subtype_illuminating,fundraising_cta_subtype_illuminating,voting_cta_subtype_illuminating,covid_topic_illuminating,economy_topic_illuminating,education_topic_illuminating,environment_topic_illuminating,foreign_policy_topic_illuminating,governance_topic_illuminating,health_topic_illuminating,immigration_topic_illuminating,lgbtq_issues_topic_illuminating,military_topic_illuminating,race_and_ethnicity_topic_illuminating,safety_topic_illuminating,social_and_cultural_topic_illuminating,technology_and_privacy_topic_illuminating,womens_issue_topic_illuminating,incivility_illuminating,scam_illuminating,freefair_illuminating,fraud_illuminating
count,27304.0,27304.0,27304.0,27304.0,27304.0,27304.0,3287.0,3345.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,26034.0,27304.0,27304.0
mean,1322.0551933782597,1063.7850131848813,6913.69282888954,128.08156314093173,507084.7318341635,136.21352182830356,1.7642983966589501e+18,1.7582857247419996e+18,0.03714373511561804,0.5636859491434278,0.507682261657832,0.3075977567795959,0.22643466236460014,0.10966428516555274,0.0669124990397173,0.007874318199277867,0.016785741722363065,0.0076054390412537455,0.16021356687408772,0.01843742797879696,0.028539602058846123,0.042252439118076364,0.022969962356917877,0.05565798571099332,0.06529922409157256,0.0030729046631328264,0.010985634170699855,0.015402934623953292,0.03760467081508796,0.05197050011523392,0.0020357993393254974,0.02331566413152032,0.17857417223630637,0.012368441269109626,0.0014283621447406974,0.0027468502783474947
std,3405.0042401645187,3174.981654139348,21590.307989209447,1131.5334680019282,3212173.986296655,712.5802944831519,6.894686649329474e+16,4.36119657015607e+16,0.18911756093783608,0.49593703963228036,0.4999505813425477,0.4615079176041638,0.4185316409839206,0.31247684757947275,0.24987519849406606,0.08838898916084757,0.1284702866854094,0.08687857194055204,0.36681105233958256,0.13452949268938846,0.16651173583618065,0.20116839951473556,0.1498105645777889,0.2292644615290389,0.2470578473918854,0.05534961243011968,0.10423707289416256,0.12315139782021392,0.19024181908327994,0.2219717545415163,0.04507474794044173,0.15090698683369944,0.3830027047455516,0.1105257081389594,0.037767369074478356,0.052339329587953634
min,0.0,0.0,0.0,0.0,5.0,0.0,7.912639390153769e+17,1.2400673584227e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,84.0,43.0,393.0,5.0,27852.75,4.0,1.726458551433063e+18,1.72680073080644e+18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,333.0,131.0,1406.0,17.0,70942.0,21.0,1.756495928737825e+18,1.74664126277265e+18,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,1071.0,501.25,5010.0,69.0,303663.0,76.0,1.8165991205444833e+18,1.7892256027314386e+18,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,144615.0,121270.0,915221.0,123320.0,333502775.0,42693.0,1.8535761683325583e+18,1.853530653414859e+18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
missing_count,0.0,0.0,0.0,0.0,0.0,0.0,24017.0,23959.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,1270.0,0.0,0.0
missing_percentage,0.0,0.0,0.0,0.0,0.0,0.0,87.96147084676238,87.74904775857017,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,4.651333138001758,0.0,0.0
skewness,10.474550923121472,8.610483533519599,13.004741463444864,80.90259883708953,59.923178527134944,29.781416879103546,-5.014730325539688,-0.16263813136261326,4.895281254158734,-0.2568505150887298,-0.030734445208502707,0.8338622929749627,1.3073628297822362,2.498525614125375,3.466696791372469,11.136307717973052,7.523161898076796,11.336106934180673,1.8527933454942411,7.159761924803321,5.663223882418089,4.551238962513625,6.368932504844216,3.8765375973588996,3.519290546036039,17.957317194838836,9.383454897572438,7.870544790052248,4.86150580941087,4.03712555458306,22.096738474084045,6.318076701713799,1.6785809523067652,8.824535593621626,26.404177616452273,19.002519893556467
kurtosis,230.78027961001547,153.51357753584793,300.51763494609366,7936.542638010629,5334.714751142959,1365.525908698614,55.29461915854136,6.411598628668515,21.965465995993107,-1.9341764072935659,-1.9992089842453769,-1.304773918403229,-0.290824779126289,4.242956193536418,10.018756304486677,122.02672399574182,54.60215961955771,126.51703978734416,1.4329532584248752,49.26597555512301,30.074415131757988,18.71521383970139,38.56626400668066,13.028544624726402,10.386203836874117,320.4898616999877,86.05583684345186,59.95008080840205,21.63590085555433,14.29948126113507,486.3032102713381,37.92100639377986,0.8176968251550072,75.87825760350083,695.2315208465054,359.122067754428
